twitter_username,twitter_userid,domain,name,followers_count,tweet_count
justinbieber,27260086,smarturl.it,Justin Bieber,114357427,31399
katyperry,21447363,katyperry.com,KATY PERRY,108900656,11625
rihanna,79293791,rihannanow.com,Rihanna,106201663,10630
Cristiano,155659213,,Cristiano Ronaldo,99274403,3780
taylorswift13,17919972,grmypro.co,Taylor Swift,90373941,716
ladygaga,14230524,,The Countess,84576292,9744
elonmusk,44196397,,Elon Musk,82898543,17487
TheEllenShow,15846407,ellentube.com,Ellen DeGeneres,77595645,23819
KimKardashian,25365536,AppStore.com,Kim Kardashian West,72170641,35405
selenagomez,23375688,smarturl.it,Selena Gomez,65791273,5388
jtimberlake,26565946,justintimberlake.com,Justin Timberlake,63231222,4348
BillGates,50393960,gatesnotes.com,Bill Gates,58128522,3848
neymarjr,158487331,neymaroficial.com,Neymar Jr,56508547,42181
britneyspears,16409683,britney.lk,Britney Spears,55863848,5632
ddlovato,21111883,demilovato.com,Demi Lovato,54260759,17793
shakira,44409004,rov.io,Shakira,52803100,7805
jimmyfallon,15485441,tonightshow.com,jimmy fallon,51467139,14098
KingJames,23083404,LeBronJames.com,LeBron James,51182528,8347
imVkohli,71201743,,Virat Kohli ,47768699,2593
SrBachchan,145125358,srbachchan.tumblr.com,Amitabh Bachchan,47422403,68863
