Country,Other names,ISO 3166-1 alpha-3 CODE,Population,Continent,Total Cases,Total Deaths,Tot_Cases,Tot_Deaths,Death percentage
Brunei ,Brunei Darussalam,BRN,444812,Asia,135974,213,305689,479,0.156647594
Cambodia,Cambodia,KHM,17123941,Asia,135747,3054,7927,178,2.249773476
Indonesia,Indonesia,IDN,278586508,Asia,6019981,155288,21609,557,2.579543025
Laos,Lao People's Democratic Republic,LAO,7460338,Asia,183560,679,24605,91,0.369906298
Malaysia,Malaysia,MYS,33091831,Asia,4246467,35099,128324,1061,0.826545926
Myanmar,Myanmar,MMR,55048340,Asia,611875,19433,11115,353,3.175975485
Philippines,Philippines,PHL,112133868,Asia,3679485,59343,32813,529,1.612807227
Singapore,Singapore,SGP,5930887,Asia,1109744,1276,187113,215,0.114981473
Thailand,Thailand,THA,70106601,Asia,3711595,25418,52942,363,0.684826874
Vietnam,Viet Nam,VNM,98871712,Asia,9818328,42600,99304,431,0.433882429
